B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B09, Trade, 355019.417, 79, B09, S02, 1
B09, Trade, 355195.733, 79, B09, S03, 1
B09, Trade, 355853.683, 79, B09, S02, 1
B09, Trade, 357911.833, 74, B09, S03, 1
B09, Trade, 358806.800, 79, B09, S02, 1
B09, Trade, 358825.650, 79, B09, S04, 1
B09, Trade, 359963.133, 79, B09, S00, 1
B09, Trade, 360878.317, 79, B09, S05, 1
B09, Trade, 360894.767, 79, B09, S01, 1
B09, Trade, 360950.850, 79, B09, S00, 1
B09, Trade, 360994.650, 79, B09, S06, 1
B09, Trade, 363641.667, 79, B09, S04, 1
B09, Trade, 363854.567, 79, B09, S04, 1
B09, Trade, 364915.733, 79, B09, S07, 1
B09, Trade, 366209.850, 79, B09, S01, 1
B09, Trade, 369063.550, 79, B09, S03, 1
B09, Trade, 377385.450, 84, B09, S00, 1
B09, Trade, 377781.517, 84, B09, S02, 1
B09, Trade, 378895.733, 84, B09, S02, 1
B09, Trade, 381433.467, 78, B09, S03, 1
B09, Trade, 394790.083, 79, B09, S01, 1
B09, Trade, 411334.083, 78, B09, S03, 1
B09, Trade, 412458.450, 79, B09, S03, 1
B09, Trade, 413202.617, 78, B09, S06, 1
B09, Trade, 415933.883, 83, B09, S04, 1
B09, Trade, 417604.400, 80, B09, S05, 1
B09, Trade, 418408.583, 79, B09, S03, 1
B09, Trade, 418502.500, 79, B09, S01, 1
B09, Trade, 419621.500, 79, B09, S01, 1
B09, Trade, 419892.200, 79, B09, S04, 1
B10, 100
B10, Trade, 392143.333, 87, B10, S03, 1
B10, Trade, 393844.100, 87, B10, S06, 1
B10, Trade, 394021.483, 87, B10, S01, 1
B10, Trade, 395001.817, 87, B10, S03, 1
B10, Trade, 395519.933, 85, B10, S04, 1
B10, Trade, 396240.950, 87, B10, S08, 1
B10, Trade, 397279.483, 87, B10, S04, 1
B10, Trade, 397826.850, 83, B10, S01, 1
B10, Trade, 397939.950, 81, B10, S00, 1
B10, Trade, 398001.850, 87, B10, S05, 1
B10, Trade, 398720.717, 84, B10, S05, 1
B10, Trade, 399533.167, 87, B10, S08, 1
B10, Trade, 399661.667, 82, B10, S03, 1
B10, Trade, 399952.117, 86, B10, S06, 1
B10, Trade, 400127.600, 87, B10, S06, 1
B10, Trade, 400157.050, 83, B10, S04, 1
B10, Trade, 400180.767, 85, B10, S00, 1
B10, Trade, 400296.117, 85, B10, S04, 1
B10, Trade, 400745.483, 87, B10, S03, 1
B10, Trade, 400806.050, 84, B10, S01, 1
B10, Trade, 400842.367, 87, B10, S06, 1
B10, Trade, 401069.233, 81, B10, S03, 1
B10, Trade, 401893.133, 85, S08, B10, 1
B10, Trade, 402479.400, 79, B10, S04, 1
B10, Trade, 402494.583, 87, B10, S01, 1
B10, Trade, 405694.050, 87, B10, S00, 1
B10, Trade, 405896.300, 87, B10, S00, 1
B10, Trade, 407462.417, 85, B10, S04, 1
B10, Trade, 410734.183, 82, B10, S05, 1
B10, Trade, 410966.417, 86, B10, S02, 1
B10, Trade, 411734.917, 86, S04, B10, 1
B10, Trade, 411744.550, 87, B10, S03, 1
B10, Trade, 412198.700, 83, B10, S03, 1
B10, Trade, 412578.450, 84, B10, S04, 1
B10, Trade, 413281.467, 86, B10, S07, 1
B10, Trade, 413360.317, 84, B10, S04, 1
B10, Trade, 413583.650, 83, B10, S06, 1
B10, Trade, 414665.700, 84, B10, S02, 1
B10, Trade, 415305.117, 86, B10, S08, 1
B10, Trade, 415727.650, 87, B10, S07, 1
B10, Trade, 416385.033, 84, B10, S02, 1
B10, Trade, 416406.817, 85, B10, S04, 1
B10, Trade, 416508.283, 86, B10, S02, 1
B10, Trade, 416551.700, 87, B10, S07, 1
B10, Trade, 416660.550, 87, B10, S07, 1
B10, Trade, 416685.833, 85, B10, S01, 1
B10, Trade, 416743.817, 86, B10, S03, 1
B10, Trade, 416768.133, 86, B10, S03, 1
B10, Trade, 416788.283, 84, B10, S03, 1
B10, Trade, 416792.750, 83, B10, S05, 1
B10, Trade, 416871.883, 87, B10, S01, 1
B10, Trade, 417031.317, 86, B10, S00, 1
B10, Trade, 417094.917, 85, B10, S01, 1
B10, Trade, 417472.717, 87, B10, S07, 1
B10, Trade, 417644.617, 85, B10, S09, 1
B10, Trade, 417706.767, 85, B10, S04, 1
B10, Trade, 417798.200, 87, S09, B10, 1
B10, Trade, 417901.900, 80, B10, S03, 1
B10, Trade, 418112.933, 83, B10, S04, 1
