B02, Trade, 258500.983, 101, B02, S01, 1
B02, Trade, 258506.533, 113, B02, S16, 1
B02, Trade, 258523.233, 93, B02, S20, 1
B02, Trade, 258528.533, 118, B02, S13, 1
B02, Trade, 258539.650, 118, S14, B02, 1
B02, Trade, 258559.383, 102, S21, B02, 1
B02, Trade, 258567.100, 122, B02, S11, 1
B02, Trade, 258578.800, 113, B02, S21, 1
B02, Trade, 258581.533, 103, B02, S11, 1
B02, Trade, 258584.050, 111, B02, S01, 1
B02, Trade, 258591.200, 123, B02, S19, 1
B02, Trade, 258610.833, 111, S10, B02, 1
B02, Trade, 258626.317, 136, B02, S23, 1
B02, Trade, 258632.433, 110, S14, B02, 1
B02, Trade, 258657.150, 117, S24, B02, 1
B02, Trade, 258671.600, 116, S29, B02, 1
B02, Trade, 258682.750, 126, S07, B02, 1
B02, Trade, 258693.100, 89, B02, S27, 1
B02, Trade, 258711.600, 107, B02, S02, 1
B02, Trade, 258717.617, 109, B02, S29, 1
B02, Trade, 258722.667, 100, B02, S06, 1
B02, Trade, 258729.617, 119, B02, S08, 1
B02, Trade, 258735.267, 129, S14, B02, 1
B02, Trade, 258748.717, 111, B02, S26, 1
B02, Trade, 258760.700, 110, S09, B02, 1
B02, Trade, 258769.483, 118, S20, B02, 1
B02, Trade, 258771.567, 97, B02, S05, 1
B02, Trade, 258776.667, 112, B02, S19, 1
B02, Trade, 258785.133, 102, S27, B02, 1
B02, Trade, 258804.767, 93, B02, S06, 1
B02, Trade, 258809.750, 101, B02, S15, 1
B02, Trade, 258815.950, 109, B02, S25, 1
B02, Trade, 258821.750, 120, B02, S21, 1
B02, Trade, 258826.017, 122, S14, B02, 1
B02, Trade, 258837.400, 107, B02, S13, 1
B02, Trade, 258845.700, 105, B02, S29, 1
B02, Trade, 258855.300, 123, B02, S10, 1
B02, Trade, 258863.917, 132, B02, S27, 1
B02, Trade, 258891.917, 112, B02, S15, 1
B02, Trade, 258903.017, 134, S17, B02, 1
B02, Trade, 258915.167, 119, B02, S12, 1
B02, Trade, 258918.533, 127, B02, S21, 1
B02, Trade, 258946.167, 93, B02, S03, 1
B02, Trade, 258958.400, 84, B02, S19, 1
B02, Trade, 258959.500, 76, B02, S02, 1
B02, Trade, 258965.000, 114, B02, S03, 1
B02, Trade, 258978.133, 128, B02, S03, 1
B02, Trade, 258988.550, 93, B02, S04, 1
B02, Trade, 258994.867, 100, B02, S17, 1
B02, Trade, 259025.567, 132, B02, S08, 1
B02, Trade, 259028.983, 106, B02, S15, 1
B02, Trade, 259046.417, 120, B02, S00, 1
B02, Trade, 259054.183, 125, B02, S28, 1
B02, Trade, 259062.867, 133, B02, S01, 1
B02, Trade, 259072.817, 127, B02, S26, 1
B02, Trade, 259092.583, 115, S15, B02, 1
B02, Trade, 259098.317, 126, B02, S23, 1
B02, Trade, 259102.417, 119, B02, S18, 1
B02, Trade, 259113.267, 125, B02, S05, 1
B02, Trade, 259125.767, 120, S07, B02, 1
B02, Trade, 259133.717, 98, S19, B02, 1
B02, Trade, 259142.417, 121, B02, S21, 1
B02, Trade, 259170.517, 113, B02, S21, 1
B02, Trade, 259179.683, 121, S14, B02, 1
B02, Trade, 259198.000, 117, B02, S28, 1
B03, 100
B03, Trade, 258629.117, 115, S21, B03, 1
B03, Trade, 258637.083, 125, S14, B03, 1
B03, Trade, 258642.283, 115, S20, B03, 1
B03, Trade, 258647.450, 131, B03, S27, 1
B03, Trade, 258649.617, 100, S04, B03, 1
B03, Trade, 258655.950, 108, B03, S01, 1
B03, Trade, 258660.117, 133, B03, S04, 1
B03, Trade, 258668.550, 124, S20, B03, 1
B03, Trade, 258675.217, 139, B03, S00, 1
B03, Trade, 258681.533, 107, B03, S28, 1
B03, Trade, 258687.417, 118, B03, S02, 1
B03, Trade, 258691.333, 115, B03, S22, 1
B03, Trade, 258704.833, 134, S14, B03, 1
B03, Trade, 258712.867, 132, B03, S04, 1
B03, Trade, 258718.300, 122, B03, S04, 1
B03, Trade, 258721.083, 137, B03, S04, 1
B03, Trade, 258725.017, 137, B03, S22, 1
B03, Trade, 258731.583, 137, B03, S10, 1
B03, Trade, 258738.100, 129, B03, S06, 1
B03, Trade, 258741.817, 133, B03, S25, 1
B03, Trade, 258744.267, 137, S14, B03, 1
B03, Trade, 258751.800, 127, B03, S29, 1
B03, Trade, 258758.250, 131, S00, B03, 1
B03, Trade, 258765.450, 122, B03, S04, 1
B03, Trade, 258768.000, 92, S14, B03, 1
B03, Trade, 258776.150, 78, S02, B03, 1
B03, Trade, 258780.500, 60, S14, B03, 1
B03, Trade, 258787.267, 126, S05, B03, 1
B03, Trade, 258792.217, 128, B03, S02, 1
B03, Trade, 258795.333, 139, B03, S06, 1
B03, Trade, 258802.283, 131, B03, S03, 1
B03, Trade, 258814.250, 115, B03, S06, 1
B03, Trade, 258818.067, 120, B03, S26, 1
B03, Trade, 258820.800, 125, B03, S01, 1
B03, Trade, 258828.400, 123, S18, B03, 1
B03, Trade, 258832.067, 123, S23, B03, 1
B03, Trade, 258840.283, 115, S04, B03, 1
B03, Trade, 258844.367, 122, B03, S19, 1
B03, Trade, 258850.467, 136, B03, S06, 1
B03, Trade, 258853.500, 130, B03, S22, 1
B03, Trade, 258855.667, 135, B03, S04, 1
B03, Trade, 258860.267, 137, S14, B03, 1
B03, Trade, 258865.083, 132, B03, S06, 1
B03, Trade, 258874.633, 118, B03, S24, 1
B03, Trade, 258877.700, 114, B03, S13, 1
B03, Trade, 258884.517, 134, B03, S11, 1
B03, Trade, 258894.117, 132, B03, S25, 1
B03, Trade, 258897.800, 133, B03, S28, 1
B03, Trade, 258905.117, 127, B03, S19, 1
B03, Trade, 258907.100, 135, S24, B03, 1
B03, Trade, 258910.817, 130, B03, S21, 1
B03, Trade, 258919.083, 122, S23, B03, 1
B03, Trade, 258925.017, 135, B03, S26, 1
B03, Trade, 258931.817, 118, B03, S23, 1
B03, Trade, 258938.450, 136, B03, S29, 1
B03, Trade, 258943.133, 122, B03, S02, 1
B03, Trade, 258946.350, 129, B03, S15, 1
B03, Trade, 258953.750, 116, B03, S15, 1
B03, Trade, 258960.100, 135, B03, S29, 1
B03, Trade, 258964.733, 113, B03, S21, 1
B03, Trade, 258965.550, 126, S24, B03, 1
B03, Trade, 258975.000, 117, S26, B03, 1
B03, Trade, 258977.200, 121, S12, B03, 1
B03, Trade, 258982.450, 107, S29, B03, 1
B03, Trade, 258989.383, 117, S00, B03, 1
B03, Trade, 258993.633, 108, B03, S25, 1
B03, Trade, 259004.417, 113, S11, B03, 1
B03, Trade, 259010.750, 131, B03, S04, 1
